GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,Result.Success,6,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.kernel,DomainError.Conflict,9,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.cases.application,GetCase,10,6,0,0,1,1,1,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.clientenrichment.api.model,BelongsDocument,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.clientenrichment.api.model,Destinations,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.clientenrichment.api.model,ErrorResponse,269,0,20,0,62,0,34,0,24,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.clientenrichment.api.model,Products,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.marketing,MarketingModels.Campaign,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.marketing,MarketingMapperImpl,6,75,3,3,3,22,3,4,0,4
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.marketing,MarketingModels.Marketing,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.marketing,MarketingModels.Prospect,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.marketing,MarketingModels,0,27,0,0,0,3,0,3,0,3
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.marketing,MarketingService,0,60,0,0,0,4,0,7,0,7
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.application.query,GetClient,10,6,0,0,1,1,1,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.adapter.out.persistence,OracleClientReader,34,6,0,0,2,1,2,1,2,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.adapter.in.web,AccountController,204,0,4,0,20,0,8,0,6,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.application.command,UpdateFinancial,49,13,6,0,5,4,4,2,1,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.application.command,ExtractClient,46,13,6,0,5,4,4,2,1,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales,SalesModels,19,10,0,0,2,1,2,1,2,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales,SalesService,36,24,0,0,2,2,4,3,4,3
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales,SalesModels.Indicators,15,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales,SalesModels.Territory,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales,SalesMapperImpl,54,27,5,1,17,8,5,2,2,2
